game,id,cardCode,name,displayName,image,rarity,cardType,set,subtypes,priceUsd,tcgPlayerUrl,stock,tcgplayerProductId,tcgplayerGroupId,tcgplayerCategoryId,modifiedOn
one-piece,one-piece-op15-eb04,OP15-EB04,Adventure on Kami's Island Booster Pack,Adventure on Kami's Island Booster Pack - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/682056.jpg,None,Card,OP15-EB04,,6.73,https://www.tcgplayer.com/product/682056/adventure-on-kamis-island-booster-pack,0,682056,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op05-087,OP05-087,Hakuba,Hakuba (OP05-087) - Awakening of the New Era,https://product-images.tcgplayer.com/fit-in/437x437/528650.jpg,Common,Character,OP05,Beautiful Pirates|Dressrosa|Black,0.24,https://www.tcgplayer.com/product/528650/hakuba,0,528650,23213,68,2023-12-08T00:00:00Z
one-piece,one-piece-op15-eb04,OP15-EB04,DON!! Card (Luffy),DON!! Card (Luffy) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/686650.jpg,DON!!,DON!!,OP15-EB04,,0.29,https://www.tcgplayer.com/product/686650/don-card-luffy,0,686650,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-eb04-058,EB04-058,Borsalino,Borsalino (EB04-058) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685329.jpg,Super Rare,Character,OP15-EB04,Navy|Egghead|Yellow,18.9316,https://www.tcgplayer.com/product/685329/borsalino,0,685329,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op15-113,OP15-113,Roronoa Zoro (OP15-113),Roronoa Zoro (OP15-113) (OP15-113) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685469.jpg,Super Rare,Character,OP15-EB04,Straw Hat Crew|Sky Island|Yellow,4.93,https://www.tcgplayer.com/product/685469/roronoa-zoro-op15-113,0,685469,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-eb04-007,EB04-007,Roronoa Zoro (EB04-007),Roronoa Zoro (EB04-007) (EB04-007) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685303.jpg,Super Rare,Character,OP15-EB04,Straw Hat Crew|Egghead|Red,16.57,https://www.tcgplayer.com/product/685303/roronoa-zoro-eb04-007,0,685303,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op15-092,OP15-092,Monkey.D.Luffy (OP15-092),Monkey.D.Luffy (OP15-092) (OP15-092) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685445.jpg,Rare,Character,OP15-EB04,Straw Hat Crew|Black,1.86,https://www.tcgplayer.com/product/685445/monkeydluffy-op15-092,0,685445,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op15-053,OP15-053,Rebecca (OP15-053),Rebecca (OP15-053) (OP15-053) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685399.jpg,Super Rare,Character,OP15-EB04,Dressrosa|Blue,3.38,https://www.tcgplayer.com/product/685399/rebecca-op15-053,0,685399,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op15-086,OP15-086,Nami (OP15-086),Nami (OP15-086) (OP15-086) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685438.jpg,Super Rare,Character,OP15-EB04,Straw Hat Crew|Black,2.13,https://www.tcgplayer.com/product/685438/nami-op15-086,0,685438,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op15-078,OP15-078,Mamaragan,Mamaragan (OP15-078) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685429.jpg,Super Rare,Event,OP15-EB04,Sky Island|Purple,4.6196,https://www.tcgplayer.com/product/685429/mamaragan,0,685429,24637,68,2026-04-03T00:00:00Z
