game,id,cardCode,name,displayName,image,rarity,cardType,set,subtypes,priceUsd,tcgPlayerUrl,stock,tcgplayerProductId,tcgplayerGroupId,tcgplayerCategoryId,modifiedOn
one-piece,one-piece-op10-067,OP10-067,Senor Pink,Senor Pink (OP10-067) - Royal Blood,https://product-images.tcgplayer.com/fit-in/437x437/617110.jpg,Rare,Character,OP10,Donquixote Pirates|Purple,0.38,https://www.tcgplayer.com/product/617110/senor-pink,1,617110,23766,68,2025-03-21T00:00:00Z
one-piece,one-piece-op15-109,OP15-109,Nico Robin (OP15-109),Nico Robin (OP15-109) (OP15-109) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685464.jpg,Rare,Character,OP15-EB04,Straw Hat Crew|Sky Island|Yellow,0.25,https://www.tcgplayer.com/product/685464/nico-robin-op15-109,1,685464,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op05-060,OP05-060,Monkey.D.Luffy (060),Monkey.D.Luffy (060) (OP05-060) - Awakening of the New Era,https://product-images.tcgplayer.com/fit-in/437x437/528616.jpg,Leader,Leader,OP05,Straw Hat Crew|Purple,0.31,https://www.tcgplayer.com/product/528616/monkeydluffy-060,1,528616,23213,68,2023-12-08T00:00:00Z
one-piece,one-piece-op15-088,OP15-088,Pirates Docking Six,Pirates Docking Six (OP15-088) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685441.jpg,Rare,Character,OP15-EB04,Straw Hat Crew|Black,0.47,https://www.tcgplayer.com/product/685441/pirates-docking-six,1,685441,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op13-051,OP13-051,Boa Hancock,Boa Hancock (OP13-051) - Carrying On His Will,https://product-images.tcgplayer.com/fit-in/437x437/657310.jpg,Rare,Character,OP13,Kuja Pirates|The Seven Warlords of the Sea|Blue,0.19,https://www.tcgplayer.com/product/657310/boa-hancock,1,657310,24303,68,2025-11-07T00:00:00Z
one-piece,one-piece-op15-119,OP15-119,Monkey.D.Luffy (OP15-119),Monkey.D.Luffy (OP15-119) (OP15-119) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685480.jpg,Secret Rare,Character,OP15-EB04,Straw Hat Crew|Sky Island|Yellow,28.05,https://www.tcgplayer.com/product/685480/monkeydluffy-op15-119,1,685480,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op15-108,OP15-108,Nami (OP15-108),Nami (OP15-108) (OP15-108) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685463.jpg,Rare,Character,OP15-EB04,Straw Hat Crew|Sky Island|Yellow,0.38,https://www.tcgplayer.com/product/685463/nami-op15-108,1,685463,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op08-047,OP08-047,Jozu,Jozu (OP08-047) - Two Legends,https://product-images.tcgplayer.com/fit-in/437x437/558075.jpg,Rare,Character,OP08,Whitebeard Pirates|Blue,2.58,https://www.tcgplayer.com/product/558075/jozu,1,558075,23462,68,2024-09-13T00:00:00Z
one-piece,one-piece-eb04-061,EB04-061,Monkey.D.Luffy (EB04-061),Monkey.D.Luffy (EB04-061) (EB04-061) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685333.jpg,Secret Rare,Character,OP15-EB04,Straw Hat Crew|The Four Emperors|Egghead|Yellow,12.71,https://www.tcgplayer.com/product/685333/monkeydluffy-eb04-061,1,685333,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op14-031,OP14-031,Nami,Nami (OP14-031) - The Azure Sea's Seven,https://product-images.tcgplayer.com/fit-in/437x437/670252.jpg,Super Rare,Character,OP14,FILM|Straw Hat Crew|Green,5.14,https://www.tcgplayer.com/product/670252/nami,1,670252,24537,68,2026-01-16T00:00:00Z
